Tiempo, Pos x, Pos y, distancia
0,0.213438,-0.001,0.8
0.01,0.414668,-0.00302081,0.586563
0.02,0.587614,-0.00626335,0.385344
0.03,0.667571,-0.0132482,0.212478
0.04,0.51159,-0.0448364,0.13309
0.05,0.306893,-0.084998,0.291874
0.06,0.0856649,-0.129009,0.500379
0.07,-0.143407,-0.175437,0.725891
0.08,-0.376964,-0.223698,0.959581
0.09,-0.613395,-0.273506,1.19803
0.1,-0.851816,-0.324699,1.43961
0.11,-1.09169,-0.377178,1.68343
0.12,-1.33267,-0.430878,1.92893
0.13,-1.57452,-0.485753,2.17576
0.14,-1.81708,-0.541772,2.4237
0.15,-2.0602,-0.59891,2.67257
0.16,-2.30381,-0.657148,2.92224
0.17,-2.54783,-0.716473,3.17262
0.18,-2.7922,-0.776873,3.42364
0.19,-3.03687,-0.838339,3.67525
0.2,-3.28181,-0.900863,3.92739
0.21,-3.52698,-0.964439,4.18004
0.22,-3.77236,-1.02906,4.43316
0.23,-4.01793,-1.09472,4.68673
0.24,-4.26367,-1.16143,4.94074
0.25,-4.50955,-1.22916,5.19516
0.26,-4.75558,-1.29793,5.44997
0.27,-5.00173,-1.36773,5.70518
0.28,-5.248,-1.43856,5.96077
0.29,-5.49437,-1.51041,6.21673
0.3,-5.74084,-1.58328,6.47305
0.31,-5.9874,-1.65718,6.72973
0.32,-6.23404,-1.73209,6.98677
0.33,-6.48076,-1.80803,7.24416
0.34,-6.72755,-1.88498,7.50189
0.35,-6.97441,-1.96295,7.75997
0.36,-7.22134,-2.04194,8.01839
0.37,-7.46832,-2.12194,8.27716
0.38,-7.71536,-2.20296,8.53626
0.39,-7.96245,-2.28498,8.7957
0.4,-8.20959,-2.36803,9.05548
0.41,-8.45678,-2.45208,9.31559
0.42,-8.70401,-2.53715,9.57605
0.43,-8.95128,-2.62323,9.83684
0.44,-9.1986,-2.71031,10.098
0.45,-9.44595,-2.79841,10.3594
0.46,-9.69334,-2.88752,10.6212
0.47,-9.94076,-2.97764,10.8834
0.48,-10.1882,-3.06876,11.1459
0.49,-10.4357,-3.1609,11.4087
0.5,-10.6832,-3.25404,11.6719
0.51,-10.9308,-3.34819,11.9354
0.52,-11.1783,-3.44335,12.1992
0.53,-11.4259,-3.53952,12.4634
0.54,-11.6735,-3.6367,12.728
0.55,-11.9212,-3.73488,12.9929
0.56,-12.1689,-3.83406,13.2581
0.57,-12.4166,-3.93426,13.5237
0.58,-12.6643,-4.03546,13.7897
0.59,-12.912,-4.13767,14.056
0.6,-13.1597,-4.24088,14.3227
0.61,-13.4075,-4.3451,14.5897
0.62,-13.6553,-4.45032,14.8571
0.63,-13.9031,-4.55655,15.1249
0.64,-14.1509,-4.66378,15.393
0.65,-14.3988,-4.77202,15.6615
0.66,-14.6466,-4.88127,15.9303
0.67,-14.8945,-4.99152,16.1995
0.68,-15.1424,-5.10277,16.4691
0.69,-15.3903,-5.21503,16.7391
0.7,-15.6382,-5.32829,17.0095
0.71,-15.8861,-5.44256,17.2802
0.72,-16.1341,-5.55783,17.5513
0.73,-16.382,-5.67411,17.8228
0.74,-16.63,-5.79139,18.0947
0.75,-16.878,-5.90967,18.3669
0.76,-17.1259,-6.02896,18.6396
0.77,-17.3739,-6.14925,18.9126
0.78,-17.622,-6.27055,19.1861
0.79,-17.87,-6.39285,19.4599
0.8,-18.118,-6.51615,19.7341
0.81,-18.366,-6.64045,20.0088
0.82,-18.6141,-6.76576,20.2838
0.83,-18.8622,-6.89208,20.5592
0.84,-19.1102,-7.01939,20.8351
0.85,-19.3583,-7.14771,21.1113
0.86,-19.6064,-7.27703,21.388
0.87,-19.8545,-7.40736,21.6651
0.88,-20.1026,-7.53868,21.9426
0.89,-20.3507,-7.67101,22.2205
0.9,-20.5988,-7.80435,22.4988
0.91,-20.8469,-7.93868,22.7776
0.92,-21.0951,-8.07402,23.0567
0.93,-21.3432,-8.21036,23.3363
0.94,-21.5914,-8.34771,23.6163
0.95,-21.8395,-8.48605,23.8968
0.96,-22.0877,-8.6254,24.1777
0.97,-22.3358,-8.76575,24.459
0.98,-22.584,-8.90711,24.7408
0.99,-22.8322,-9.04946,25.023
1,-23.0804,-9.19282,25.3056
1.01,-23.3286,-9.33718,25.5887
1.02,-23.5768,-9.48255,25.8722
1.03,-23.825,-9.62891,26.1562
1.04,-24.0732,-9.77628,26.4406
1.05,-24.3214,-9.92465,26.7255
1.06,-24.5696,-10.074,27.0108
1.07,-24.8179,-10.2244,27.2966
1.08,-25.0661,-10.3758,27.5828
1.09,-25.3143,-10.5282,27.8695
1.1,-25.5626,-10.6815,28.1567
1.11,-25.8108,-10.8359,28.4443
1.12,-26.0591,-10.9913,28.7324
1.13,-26.3073,-11.1477,29.021
1.14,-26.5556,-11.3051,29.31
1.15,-26.8038,-11.4635,29.5995
1.16,-27.0521,-11.6229,29.8895
1.17,-27.3004,-11.7832,30.18
1.18,-27.5487,-11.9446,30.4709
1.19,-27.7969,-12.107,30.7623
1.2,-28.0452,-12.2704,31.0542
1.21,-28.2935,-12.4348,31.3466
1.22,-28.5418,-12.6002,31.6395
1.23,-28.7901,-12.7666,31.9329
1.24,-29.0384,-12.934,32.2267
1.25,-29.2867,-13.1025,32.5211
1.26,-29.535,-13.2719,32.8159
1.27,-29.7833,-13.4423,33.1112
1.28,-30.0316,-13.6137,33.4071
1.29,-30.2799,-13.7861,33.7034
1.3,-30.5283,-13.9595,34.0003
1.31,-30.7766,-14.1339,34.2976
1.32,-31.0249,-14.3093,34.5955
1.33,-31.2733,-14.4858,34.8939
1.34,-31.5216,-14.6632,35.1928
1.35,-31.7699,-14.8416,35.4922
1.36,-32.0183,-15.021,35.7921
1.37,-32.2666,-15.2014,36.0925
1.38,-32.515,-15.3829,36.3935
1.39,-32.7633,-15.5653,36.6949
1.4,-33.0117,-15.7487,36.9969
1.41,-33.26,-15.9332,37.2995
1.42,-33.5084,-16.1186,37.6025
1.43,-33.7567,-16.305,37.9061
1.44,-34.0051,-16.4924,38.2102
1.45,-34.2534,-16.6809,38.5149
1.46,-34.5018,-16.8703,38.82
1.47,-34.7502,-17.0608,39.1258
1.48,-34.9986,-17.2522,39.432
1.49,-35.2469,-17.4446,39.7388
1.5,-35.4953,-17.6381,40.0462
1.51,-35.7437,-17.8325,40.3541
1.52,-35.9921,-18.0279,40.6625
1.53,-36.2405,-18.2244,40.9715
1.54,-36.4888,-18.4218,41.281
1.55,-36.7372,-18.6203,41.5911
1.56,-36.9856,-18.8197,41.9018
1.57,-37.234,-19.0202,42.213
1.58,-37.4824,-19.2216,42.5247
1.59,-37.7308,-19.4241,42.8371
1.6,-37.9792,-19.6275,43.1499
1.61,-38.2276,-19.832,43.4634
1.62,-38.476,-20.0374,43.7774
1.63,-38.7244,-20.2439,44.092
1.64,-38.9728,-20.4513,44.4071
1.65,-39.2212,-20.6598,44.7229
1.66,-39.4696,-20.8692,45.0391
1.67,-39.718,-21.0797,45.356
1.68,-39.9665,-21.2912,45.6735
1.69,-40.2149,-21.5036,45.9915
1.7,-40.4633,-21.7171,46.3101
1.71,-40.7117,-21.9315,46.6293
1.72,-40.9601,-22.147,46.9491
1.73,-41.2085,-22.3635,47.2694
1.74,-41.457,-22.5809,47.5904
1.75,-41.7054,-22.7994,47.9119
1.76,-41.9538,-23.0189,48.234
1.77,-42.2022,-23.2393,48.5567
1.78,-42.4507,-23.4608,48.8801
1.79,-42.6991,-23.6833,49.204
1.8,-42.9475,-23.9067,49.5285
1.81,-43.196,-24.1312,49.8536
1.82,-43.4444,-24.3567,50.1793
1.83,-43.6928,-24.5831,50.5056
1.84,-43.9413,-24.8106,50.8325
1.85,-44.1897,-25.0391,51.16
1.86,-44.4382,-25.2686,51.4882
1.87,-44.6866,-25.499,51.8169
1.88,-44.9351,-25.7305,52.1463
1.89,-45.1835,-25.963,52.4762
1.9,-45.4319,-26.1965,52.8068
1.91,-45.6804,-26.4309,53.138
1.92,-45.9288,-26.6664,53.4698
1.93,-46.1773,-26.9029,53.8023
1.94,-46.4257,-27.1404,54.1353
1.95,-46.6742,-27.3789,54.469
1.96,-46.9227,-27.6183,54.8033
1.97,-47.1711,-27.8588,55.1382
1.98,-47.4196,-28.1003,55.4738
1.99,-47.668,-28.3428,55.81
2,-47.9165,-28.5863,56.1468
2.01,-48.1649,-28.8307,56.4842
2.02,-48.4134,-29.0762,56.8223
2.03,-48.6619,-29.3227,57.1611
2.04,-48.9103,-29.5702,57.5004
2.05,-49.1588,-29.8187,57.8404
2.06,-49.4073,-30.0682,58.1811
2.07,-49.6557,-30.3187,58.5223
2.08,-49.9042,-30.5702,58.8643
2.09,-50.1527,-30.8226,59.2068
2.1,-50.4011,-31.0761,59.5501
2.11,-50.6496,-31.3306,59.8939
2.12,-50.8981,-31.5861,60.2384
2.13,-51.1466,-31.8426,60.5836
2.14,-51.395,-32.1001,60.9294
2.15,-51.6435,-32.3586,61.2759
2.16,-51.892,-32.6181,61.623
2.17,-52.1405,-32.8786,61.9708
2.18,-52.3889,-33.1401,62.3193
2.19,-52.6374,-33.4026,62.6684
2.2,-52.8859,-33.6661,63.0182
2.21,-53.1344,-33.9306,63.3686
2.22,-53.3828,-34.1961,63.7197
2.23,-53.6313,-34.4626,64.0715
2.24,-53.8798,-34.7301,64.4239
2.25,-54.1283,-34.9985,64.777
2.26,-54.3768,-35.268,65.1308
2.27,-54.6253,-35.5385,65.4852
2.28,-54.8738,-35.81,65.8403
2.29,-55.1222,-36.0825,66.1961
2.3,-55.3707,-36.356,66.5526
2.31,-55.6192,-36.6305,66.9097
2.32,-55.8677,-36.9061,67.2676
2.33,-56.1162,-37.1826,67.6261
2.34,-56.3647,-37.4601,67.9853
2.35,-56.6132,-37.7386,68.3451
2.36,-56.8617,-38.0181,68.7057
2.37,-57.1102,-38.2986,69.0669
2.38,-57.3587,-38.5801,69.4289
2.39,-57.6071,-38.8626,69.7915
2.4,-57.8556,-39.1461,70.1548
2.41,-58.1041,-39.4306,70.5188
2.42,-58.3526,-39.7161,70.8835
2.43,-58.6011,-40.0026,71.2489
2.44,-58.8496,-40.2901,71.615
2.45,-59.0981,-40.5786,71.9817
2.46,-59.3466,-40.8681,72.3492
2.47,-59.5951,-41.1586,72.7174
2.48,-59.8436,-41.4501,73.0863
2.49,-60.0921,-41.7427,73.4559
2.5,-60.3406,-42.0362,73.8262
2.51,-60.5891,-42.3307,74.1971
2.52,-60.8376,-42.6262,74.5688
2.53,-61.0861,-42.9227,74.9412
2.54,-61.3346,-43.2202,75.3144
2.55,-61.5832,-43.5187,75.6882
2.56,-61.8317,-43.8182,76.0627
2.57,-62.0802,-44.1188,76.438
2.58,-62.3287,-44.4203,76.8139
2.59,-62.5772,-44.7228,77.1906
2.6,-62.8257,-45.0263,77.568
2.61,-63.0742,-45.3308,77.9461
2.62,-63.3227,-45.6363,78.3249
2.63,-63.5712,-45.9428,78.7045
2.64,-63.8197,-46.2504,79.0847
2.65,-64.0682,-46.5589,79.4657
2.66,-64.3167,-46.8684,79.8475
2.67,-64.5653,-47.1789,80.2299
2.68,-64.8138,-47.4904,80.6131
2.69,-65.0623,-47.8029,80.997
2.7,-65.3108,-48.1165,81.3816
2.71,-65.5593,-48.431,81.7669
2.72,-65.8078,-48.7465,82.153
2.73,-66.0563,-49.063,82.5398
2.74,-66.3049,-49.3805,82.9274
2.75,-66.5534,-49.6991,83.3157
2.76,-66.8019,-50.0186,83.7047
2.77,-67.0504,-50.3391,84.0944
2.78,-67.2989,-50.6606,84.4849
2.79,-67.5474,-50.9831,84.8762
2.8,-67.796,-51.3067,85.2681
2.81,-68.0445,-51.6312,85.6608
2.82,-68.293,-51.9567,86.0543
2.83,-68.5415,-52.2832,86.4485
2.84,-68.79,-52.6108,86.8434
2.85,-69.0385,-52.9393,87.2391
2.86,-69.2871,-53.2688,87.6356
2.87,-69.5356,-53.5993,88.0327
2.88,-69.7841,-53.9309,88.4307
2.89,-70.0326,-54.2634,88.8294
2.9,-70.2812,-54.5969,89.2288
2.91,-70.5297,-54.9314,89.629
2.92,-70.7782,-55.267,90.0299
2.93,-71.0267,-55.6035,90.4316
2.94,-71.2753,-55.941,90.8341
2.95,-71.5238,-56.2795,91.2373
2.96,-71.7723,-56.6191,91.6412
2.97,-72.0208,-56.9596,92.046
2.98,-72.2694,-57.3011,92.4514
2.99,-72.5179,-57.6436,92.8577
3,-72.7664,-57.9872,93.2647
3.01,-73.0149,-58.3317,93.6725
3.02,-73.2635,-58.6772,94.081
3.03,-73.512,-59.0238,94.4903
3.04,-73.7605,-59.3713,94.9003
3.05,-74.009,-59.7198,95.3112
3.06,-74.2576,-60.0694,95.7228
3.07,-74.5061,-60.4199,96.1351
3.08,-74.7546,-60.7714,96.5483
3.09,-75.0032,-61.1239,96.9622
3.1,-75.2517,-61.4775,97.3769
3.11,-75.5002,-61.832,97.7923
3.12,-75.7487,-62.1875,98.2086
3.13,-75.9973,-62.5441,98.6256
3.14,-76.2458,-62.9016,99.0433
3.15,-76.4943,-63.2601,99.4619
3.16,-76.7429,-63.6197,99.8812
3.17,-76.9914,-63.9802,100.301
3.18,-77.2399,-64.3417,100.722
3.19,-77.4885,-64.7043,101.144
3.2,-77.737,-65.0678,101.566
3.21,-77.9855,-65.4323,101.99
3.22,-78.2341,-65.7979,102.414
3.23,-78.4826,-66.1644,102.838
3.24,-78.7311,-66.5319,103.264
3.25,-78.9797,-66.9005,103.69
3.26,-79.2282,-67.27,104.118
3.27,-79.4767,-67.6405,104.546
3.28,-79.7253,-68.0121,104.974
3.29,-79.9738,-68.3846,105.404
3.3,-80.2224,-68.7582,105.834
3.31,-80.4709,-69.1327,106.265
3.32,-80.7194,-69.5082,106.697
3.33,-80.968,-69.8848,107.13
3.34,-81.2165,-70.2623,107.563
3.35,-81.465,-70.6408,107.998
3.36,-81.7136,-71.0204,108.433
3.37,-81.9621,-71.4009,108.869
3.38,-82.2107,-71.7825,109.305
3.39,-82.4592,-72.165,109.743
3.4,-82.7077,-72.5485,110.181
3.41,-82.9563,-72.9331,110.62
3.42,-83.2048,-73.3186,111.06
3.43,-83.4534,-73.7052,111.501
3.44,-83.7019,-74.0927,111.942
3.45,-83.9504,-74.4812,112.385
3.46,-84.199,-74.8708,112.828
3.47,-84.4475,-75.2613,113.272
3.48,-84.6961,-75.6529,113.716
3.49,-84.9446,-76.0454,114.162
3.5,-85.1931,-76.4389,114.608
3.51,-85.4417,-76.8335,115.055
3.52,-85.6902,-77.229,115.503
3.53,-85.9388,-77.6256,115.952
3.54,-86.1873,-78.0231,116.402
3.55,-86.4358,-78.4216,116.852
3.56,-86.6844,-78.8212,117.303
3.57,-86.9329,-79.2217,117.755
3.58,-87.1815,-79.6233,118.208
3.59,-87.43,-80.0258,118.662
3.6,-87.6786,-80.4294,119.116
3.61,-87.9271,-80.8339,119.571
3.62,-88.1757,-81.2394,120.028
3.63,-88.4242,-81.646,120.484
3.64,-88.6727,-82.0535,120.942
3.65,-88.9213,-82.4621,121.401
3.66,-89.1698,-82.8716,121.86
3.67,-89.4184,-83.2822,122.32
3.68,-89.6669,-83.6937,122.781
3.69,-89.9155,-84.1062,123.243
3.7,-90.164,-84.5198,123.706
3.71,-90.4126,-84.9343,124.169
3.72,-90.6611,-85.3499,124.634
3.73,-90.9097,-85.7664,125.099
3.74,-91.1582,-86.184,125.565
3.75,-91.4067,-86.6025,126.032
3.76,-91.6553,-87.0221,126.499
3.77,-91.9038,-87.4426,126.968
3.78,-92.1524,-87.8642,127.437
3.79,-92.4009,-88.2867,127.907
3.8,-92.6495,-88.7103,128.378
3.81,-92.898,-89.1348,128.85
3.82,-93.1466,-89.5603,129.323
3.83,-93.3951,-89.9869,129.796
3.84,-93.6437,-90.4144,130.27
3.85,-93.8922,-90.843,130.745
3.86,-94.1408,-91.2725,131.221
3.87,-94.3893,-91.7031,131.698
3.88,-94.6379,-92.1346,132.176
3.89,-94.8864,-92.5672,132.654
3.9,-95.135,-93.0007,133.134
3.91,-95.3835,-93.4353,133.614
3.92,-95.6321,-93.8708,134.095
3.93,-95.8806,-94.3074,134.577
3.94,-96.1292,-94.7449,135.059
3.95,-96.3777,-95.1835,135.543
3.96,-96.6263,-95.623,136.027
3.97,-96.8748,-96.0636,136.512
3.98,-97.1234,-96.5051,136.998
3.99,-97.3719,-96.9477,137.485
4,-97.6205,-97.3912,137.973
4.01,-97.869,-97.8358,138.462
4.02,-98.1176,-98.2813,138.951
4.03,-98.3661,-98.7279,139.441
4.04,-98.6147,-99.1754,139.933
4.05,-98.8632,-99.624,140.425
4.06,-99.1118,-100.074,140.917
4.07,-99.3603,-100.524,141.411
4.08,-99.6089,-100.976,141.906
4.09,-99.8574,-101.428,142.401
4.1,-100.106,-101.882,142.897
4.11,-100.355,-102.336,143.394
4.12,-100.603,-102.792,143.892
4.13,-100.852,-103.248,144.391
4.14,-101.1,-103.706,144.891
4.15,-101.349,-104.164,145.391
4.16,-101.597,-104.624,145.892
4.17,-101.846,-105.085,146.395
4.18,-102.094,-105.546,146.898
4.19,-102.343,-106.009,147.402
4.2,-102.592,-106.472,147.906
4.21,-102.84,-106.937,148.412
4.22,-103.089,-107.402,148.919
4.23,-103.337,-107.869,149.426
4.24,-103.586,-108.336,149.934
4.25,-103.834,-108.805,150.443
4.26,-104.083,-109.275,150.953
4.27,-104.331,-109.745,151.464
4.28,-104.58,-110.217,151.976
4.29,-104.829,-110.689,152.488
4.3,-105.077,-111.163,153.002
4.31,-105.326,-111.637,153.516
4.32,-105.574,-112.113,154.031
4.33,-105.823,-112.589,154.547
4.34,-106.071,-113.067,155.064
4.35,-106.32,-113.546,155.582
4.36,-106.568,-114.025,156.1
4.37,-106.817,-114.506,156.62
4.38,-107.066,-114.987,157.14
4.39,-107.314,-115.47,157.661
4.4,-107.563,-115.953,158.183
4.41,-107.811,-116.438,158.706
4.42,-108.06,-116.923,159.23
4.43,-108.308,-117.41,159.755
4.44,-108.557,-117.898,160.28
4.45,-108.805,-118.386,160.807
4.46,-109.054,-118.876,161.334
4.47,-109.303,-119.366,161.862
4.48,-109.551,-119.858,162.391
4.49,-109.8,-120.35,162.921
4.5,-110.048,-120.844,163.452
4.51,-110.297,-121.338,163.983
4.52,-110.545,-121.834,164.516
4.53,-110.794,-122.331,165.049
4.54,-111.042,-122.828,165.584
4.55,-111.291,-123.327,166.119
4.56,-111.54,-123.826,166.655
4.57,-111.788,-124.327,167.192
4.58,-112.037,-124.828,167.73
4.59,-112.285,-125.331,168.268
4.6,-112.534,-125.834,168.808
4.61,-112.782,-126.339,169.348
4.62,-113.031,-126.845,169.89
4.63,-113.279,-127.351,170.432
4.64,-113.528,-127.859,170.975
4.65,-113.777,-128.367,171.519
4.66,-114.025,-128.877,172.064
4.67,-114.274,-129.387,172.61
4.68,-114.522,-129.899,173.156
4.69,-114.771,-130.412,173.704
4.7,-115.019,-130.925,174.252
4.71,-115.268,-131.44,174.801
4.72,-115.517,-131.955,175.351
4.73,-115.765,-132.472,175.903
4.74,-116.014,-132.989,176.454
4.75,-116.262,-133.508,177.007
4.76,-116.511,-134.027,177.561
4.77,-116.759,-134.548,178.116
4.78,-117.008,-135.07,178.671
4.79,-117.256,-135.592,179.227
4.8,-117.505,-136.116,179.785
4.81,-117.754,-136.64,180.343
4.82,-118.002,-137.166,180.902
4.83,-118.251,-137.692,181.462
4.84,-118.499,-138.22,182.023
4.85,-118.748,-138.748,182.584
4.86,-118.996,-139.278,183.147
4.87,-119.245,-139.809,183.71
4.88,-119.493,-140.34,184.275
4.89,-119.742,-140.873,184.84
4.9,-119.991,-141.406,185.406
4.91,-120.239,-141.941,185.973
4.92,-120.488,-142.476,186.541
4.93,-120.736,-143.013,187.11
4.94,-120.985,-143.551,187.68
4.95,-121.233,-144.089,188.251
4.96,-121.482,-144.629,188.822
4.97,-121.731,-145.169,189.395
4.98,-121.979,-145.711,189.968
